,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,completed sets,packs,simulations
0,,,2.0,3.0,1.0,,1.0,1.0,,2.0,1.0,,1.0,2.0,1.0,2.0,2.0,1.0,,1.0,1.0,,,2.0,0.6666666666666666,4.0,500.0
1,,,2.0,,1.0,3.0,2.0,,2.0,1.0,1.0,1.0,1.0,,,,2.0,,,3.0,1.0,1.0,2.0,1.0,0.625,4.0,500.0
2,,1.0,3.0,,2.0,1.0,1.0,1.0,2.0,2.0,,1.0,2.0,,1.0,,2.0,,1.0,,1.0,3.0,,,0.625,4.0,500.0
3,,,,2.0,1.0,1.0,4.0,2.0,,1.0,,,1.0,1.0,,1.0,2.0,2.0,2.0,1.0,,1.0,2.0,,0.625,4.0,500.0
4,,,1.0,,2.0,1.0,1.0,1.0,4.0,,,1.0,,1.0,2.0,1.0,2.0,,2.0,2.0,3.0,,,,0.5833333333333334,4.0,500.0
5,,2.0,,2.0,2.0,1.0,,1.0,2.0,,,2.0,3.0,1.0,,2.0,2.0,,2.0,,1.0,1.0,,,0.5833333333333334,4.0,500.0
6,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,,,,,2.0,2.0,3.0,2.0,,1.0,2.0,1.0,,0.6666666666666666,4.0,500.0
7,,,2.0,,1.0,3.0,2.0,1.0,,,2.0,1.0,2.0,1.0,1.0,3.0,,,1.0,2.0,2.0,,,,0.5833333333333334,4.0,500.0
8,,,1.0,2.0,1.0,,1.0,,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,3.0,1.0,0.7083333333333334,4.0,500.0
9,,,,2.0,3.0,1.0,,1.0,1.0,,2.0,1.0,1.0,,1.0,2.0,,2.0,2.0,,1.0,1.0,1.0,2.0,0.6666666666666666,4.0,500.0
10,,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,2.0,1.0,,,1.0,3.0,1.0,2.0,3.0,1.0,2.0,,1.0,0.7083333333333334,4.0,500.0
11,,1.0,1.0,1.0,,1.0,,,4.0,2.0,2.0,,1.0,2.0,2.0,,1.0,3.0,,1.0,1.0,,,1.0,0.625,4.0,500.0
