,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,completed sets
count,1114.0,2214.0,3388.0,3418.0,3544.0,3561.0,3143.0,3363.0,3455.0,3567.0,3539.0,3083.0,3421.0,3516.0,3186.0,3389.0,3534.0,3420.0,3591.0,3396.0,3404.0,3409.0,3422.0,2378.0,5000.0
mean,24.7,53.78,107.61999999999998,108.36,114.82,115.24000000000001,87.64,106.41999999999999,110.61999999999999,113.90000000000002,114.24,84.66000000000001,109.85999999999999,112.84000000000002,88.94000000000003,110.5,113.02,111.48,115.93999999999998,108.12,107.60000000000001,109.58,109.84000000000002,60.28,0.6454583333333334
std,7.250130017113446,20.080122483032177,52.775305661162875,53.4082178522441,57.56660383659211,56.72783172226938,38.66201729292585,52.29036095136041,54.87889659292098,55.912886144575516,56.75419768718333,36.518003151672936,55.063242540412816,55.05386125039301,38.3535722765641,54.739376635356294,55.835825276602435,55.20794149163492,57.396255846362116,53.827669330076894,54.07530887815076,54.966767095914655,54.881853031985855,24.130579422654428,0.0646464804201154
min,22.28,44.28,67.75999999999999,68.36,70.88,71.22,62.86000000000001,67.25999999999999,69.1,71.34,70.78,61.660000000000004,68.42,70.32000000000001,63.72,67.78,70.67999999999999,68.4,71.82,67.92,68.08,68.17999999999999,68.44,47.56,0.4166666666666667
25%,22.28,44.28,67.75999999999999,68.36,70.88,71.22,62.86000000000001,67.25999999999999,69.1,71.34,70.78,61.660000000000004,68.42,70.32000000000001,63.72,67.78,70.67999999999999,68.4,71.82,67.92,68.08,68.17999999999999,68.44,47.56,0.5833333333333334
50%,22.28,44.28,67.75999999999999,68.36,70.88,71.22,62.86000000000001,67.25999999999999,69.1,71.34,70.78,61.660000000000004,68.42,70.32000000000001,63.72,67.78,70.67999999999999,68.4,71.82,67.92,68.08,68.17999999999999,68.44,47.56,0.625
75%,22.28,44.28,135.51999999999998,136.72,141.76,142.44,125.72000000000001,134.51999999999998,138.2,142.68,141.56,123.32000000000001,136.84,140.64000000000001,127.44,135.56,141.35999999999999,136.8,143.64,135.84,136.16,136.35999999999999,136.88,47.56,0.7083333333333334
max,66.84,177.12,406.56,410.15999999999997,496.15999999999997,427.32,251.44000000000003,336.3,414.59999999999997,428.04,353.9,246.64000000000001,410.52,351.6,254.88,474.46000000000004,424.08000000000004,410.40000000000003,430.91999999999996,339.59999999999997,408.47999999999996,409.08,410.64,190.24,0.9166666666666666
packs,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
count,1336.0,2650.0,3761.0,3786.0,3961.0,4009.0,3547.0,3779.0,3781.0,3914.0,3909.0,3466.0,3796.0,3894.0,3544.0,3806.0,3850.0,3781.0,3983.0,3801.0,3809.0,3814.0,3783.0,2728.0,5000.0
